Filter,,
,,
Sum - total_time,activity,
date,Walking,Total Result
2019-08-25,2141.239,2141.239
2019-08-27,3172.654,3172.654
2019-08-31,351.928,351.928
2019-09-02,1374.012716567,1374.012716567
2019-09-03,1435.507,1435.507
2019-09-05,915.718,915.718
2019-09-08,3747.696532019,3747.696532019
2019-09-10,1722.581,1722.581
2019-09-11,187.499,187.499
2019-09-12,1049.375,1049.375
2019-09-14,4137.378,4137.378
2019-09-19,1053.195,1053.195
2019-09-20,910.621,910.621
2019-09-22,1310.962,1310.962
2019-09-25,3502.924820709,3502.924820709
2019-09-26,4076.767,4076.767
2019-09-27,1029.262822022,1029.262822022
2019-09-29,1107.311,1107.311
2019-09-30,1845.533,1845.533
2019-10-01,5994.751196108,5994.751196108
2019-10-02,6834.19,6834.19
2019-10-03,3565.698,3565.698
2019-10-04,3710.668,3710.668
2019-10-05,1614.983,1614.983
2019-10-07,1077.149,1077.149
2019-10-08,2070.753,2070.753
2019-10-09,1500.144484212,1500.144484212
2019-10-10,2103.164950237,2103.164950237
2019-10-11,1547.772474697,1547.772474697
2019-10-12,3538.333,3538.333
2019-10-13,3172.458,3172.458
2019-10-16,1040.557,1040.557
2019-10-19,3289.269,3289.269
2019-10-20,1176.796,1176.796
2019-10-21,4539.425079223,4539.425079223
2019-10-22,1277.57,1277.57
2019-10-23,970.853349908,970.853349908
2019-10-24,2191.591,2191.591
2019-10-25,907.459,907.459
2019-10-26,2201.78,2201.78
2019-10-27,2779.749,2779.749
2019-10-28,2934.816141219,2934.816141219
2019-10-30,1188.316226538,1188.316226538
2019-11-01,3464.910896517,3464.910896517
2019-11-02,1228.738206848,1228.738206848
2019-11-04,1104.559794876,1104.559794876
2019-11-05,1372.329146099,1372.329146099
2019-11-06,1550.722083578,1550.722083578
2019-11-11,1386.656236073,1386.656236073
2019-11-12,2704.115500729,2704.115500729
Total Result,2350021.57651044,2350021.57651044
